constituency,state,status,Vote,Margin,Candidate,Party
FARIDABAD(10),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 10 - FARIDABAD  (Haryana)

            ",lost,808,-787761,BHARAT BHUSHAN KOLI,Rashtra Nirman Party
FARIDABAD(10),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 10 - FARIDABAD  (Haryana)

            ",lost,771,-787798,SHIV NARAYAN BABA DUBEY,Kisan Mazdoor Sangharsh Party
FARIDABAD(10),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 10 - FARIDABAD  (Haryana)

            ",lost,756,-787813,GYAN CHAND BAINSLA,Samrat Mihir Bhoj Samaj Party
FARIDABAD(10),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 10 - FARIDABAD  (Haryana)

            ",lost,663,-787906,RAJESH GAUTAM,Independent
FARIDABAD(10),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 10 - FARIDABAD  (Haryana)

            ",lost,663,-787906,SWAMI RAJENDRA DEV JI,Independent
FARIDABAD(10),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 10 - FARIDABAD  (Haryana)

            ",lost,615,-787954,LEKHRAM DABANG,Independent
FARIDABAD(10),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 10 - FARIDABAD  (Haryana)

            ",lost,614,-787955,GIRRAJ,Independent
FARIDABAD(10),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 10 - FARIDABAD  (Haryana)

            ",lost,551,-788018,SHAKILA HUSSAIN,Loktantrik Janshakti Party
FARIDABAD(10),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 10 - FARIDABAD  (Haryana)

            ",,6821,-781748,NOTA,None of the Above
KANGRA(1),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 1 - KANGRA  (Himachal Pradesh)

            ",won,632793,251895,DR RAJEEV BHARDWAJ,Bharatiya Janata Party
KANGRA(1),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 1 - KANGRA  (Himachal Pradesh)

            ",lost,380898,-251895,ANAND SHARMA,Indian National Congress
KANGRA(1),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 1 - KANGRA  (Himachal Pradesh)

            ",lost,7753,-625040,REKHA CHAUDHARY,Bahujan Samaj Party
KANGRA(1),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 1 - KANGRA  (Himachal Pradesh)

            ",lost,2319,-630474,ADVOCATE SANJAY SHARMA,Independent
KANGRA(1),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 1 - KANGRA  (Himachal Pradesh)

            ",lost,2178,-630615,DR KEHAR SINGH,Independent
KANGRA(1),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 1 - KANGRA  (Himachal Pradesh)

            ",lost,1476,-631317,JEEVAN KUMAR,Akhil Bhartiya Parivar Party
KANGRA(1),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 1 - KANGRA  (Himachal Pradesh)

            ",lost,1171,-631622,NARAIN SINGH DOGRA,Himachal Janta Party
KANGRA(1),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 1 - KANGRA  (Himachal Pradesh)

            ",lost,756,-632037,BHUVNESH KUMAR,Rashtriya Devbhumi Party
KANGRA(1),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 1 - KANGRA  (Himachal Pradesh)

            ",lost,607,-632186,DEV RAJ BHARDWAJ,Rashtriya Samaj Dal (R)
KANGRA(1),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 1 - KANGRA  (Himachal Pradesh)

            ",lost,545,-632248,ACHAL SINGH,Independent
KANGRA(1),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 1 - KANGRA  (Himachal Pradesh)

            ",,6372,-626421,NOTA,None of the Above
MANDI(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - MANDI  (Himachal Pradesh)

            ",won,537022,74755,KANGNA RANAUT,Bharatiya Janata Party
MANDI(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - MANDI  (Himachal Pradesh)

            ",lost,462267,-74755,VIKRAMADITYA SINGH,Indian National Congress
MANDI(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - MANDI  (Himachal Pradesh)

            ",lost,4393,-532629,DR. PRAKASH CHAND BHARDWAJ,Bahujan Samaj Party
MANDI(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - MANDI  (Himachal Pradesh)

            ",lost,2447,-534575,NARENDER KUMAR,Rashtriya Devbhumi Party
MANDI(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - MANDI  (Himachal Pradesh)

            ",lost,1051,-535971,RAKHEE GUPTA,Independent
MANDI(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - MANDI  (Himachal Pradesh)

            ",lost,974,-536048,SUBHASH MOHAN SNEHI,Independent
MANDI(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - MANDI  (Himachal Pradesh)

            ",lost,690,-536332,VINAY KUMAR,Akhil Bhartiya Parivar Party
MANDI(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - MANDI  (Himachal Pradesh)

            ",lost,654,-536368,MAHESH  SAINI,Himachal Janta Party
MANDI(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - MANDI  (Himachal Pradesh)

            ",lost,381,-536641,DINESH KUMAR BHATI,Independent
MANDI(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - MANDI  (Himachal Pradesh)

            ",lost,286,-536736,ASHUTOSH MAHANT,Independent
MANDI(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - MANDI  (Himachal Pradesh)

            ",,5645,-531377,NOTA,None of the Above
HAMIRPUR(3),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 3 - HAMIRPUR  (Himachal Pradesh)

            ",won,607068,182357,ANURAG SINGH THAKUR,Bharatiya Janata Party
HAMIRPUR(3),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 3 - HAMIRPUR  (Himachal Pradesh)

            ",lost,424711,-182357,SATPAL RAIZADA,Indian National Congress
HAMIRPUR(3),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 3 - HAMIRPUR  (Himachal Pradesh)

            ",lost,2758,-604310,HEM RAJ,Bahujan Samaj Party
HAMIRPUR(3),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 3 - HAMIRPUR  (Himachal Pradesh)

            ",lost,1764,-605304,JAGDEEP KUMAR,Rashtriya Devbhumi Party
